compn,pKa,correct name,reference,smiles,smarts,inchi,inchiKey
sm6-1_neut->an,9.53,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,,"InChI=1S/C12H11NO3/c14-7-3-4-10-9(6-7)8-2-1-5-13-12(15)11(8)16-10/h3-4,6,14H,1-2,5H2,(H,13,15)ÊÊ",AACFPJSJOWQNBN-UHFFFAOYSA-NÊ
sm6-2_neut->an,5.03,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F,,"InChI=1S/C15H10F3N3/c16-15(17,18)10-4-3-5-11(8-10)21-14-12-6-1-2-7-13(12)19-9-20-14/h1-9H,(H,19,20,21)ÊÊ",VCOMYMMMFREKQC-UHFFFAOYSA-NÊÊ
sm6-3_cation->neut,7.02,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,,"InChI=1S/C14H11N3OS2/c18-13(11-7-4-8-19-11)15-14-17-16-12(20-14)9-10-5-2-1-3-6-10/h1-8H,9H2,(H,15,17,18)ÊÊ",IGBVONNIYTWQQL-UHFFFAOYSA-NÊ
sm6-4_cation->neut,6.02,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,,"ÊInChI=1S/C15H12ClN3/c16-12-7-5-11(6-8-12)9-17-15-13-3-1-2-4-14(13)18-10-19-15/h1-8,10H,9H2,(H,17,18,19)ÊÊ",BTRLSAYDVSPYCS-UHFFFAOYSA-NÊÊ
sm6-5_cation->neut,4.59,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)N3CCCCC3,,"InChI=1S/C16H17ClN2O2/c17-15-9-8-14(21-15)16(20)18-12-6-2-3-7-13(12)19-10-4-1-5-11-19/h2-3,6-9H,1,4-5,10-11H2,(H,18,20)ÊÊ",VZFMTNFVLVJCCC-UHFFFAOYSA-NÊÊ
sm6-6_cation->neut,3.03,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,,"ÊInChI=1S/C15H10BrN3O/c16-12-7-11(8-17-9-12)15(20)19-13-5-1-3-10-4-2-6-18-14(10)13/h1-9H,(H,19,20)ÊÊ",ZQSXDZKZFCDQSE-UHFFFAOYSA-N
sm6-6_neut->an,11.74,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1cc2cccnc2c(c1)NC(=O)c3cc(cnc3)Br,,"ÊInChI=1S/C15H10BrN3O/c16-12-7-11(8-17-9-12)15(20)19-13-5-1-3-10-4-2-6-18-14(10)13/h1-9H,(H,19,20)ÊÊ",ZQSXDZKZFCDQSE-UHFFFAOYSA-N
sm6-7_cation->neut,6.08,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,c1ccc(cc1)CNc2c3ccccc3ncn2,,"ÊInChI=1S/C15H13N3/c1-2-6-12(7-3-1)10-16-15-13-8-4-5-9-14(13)17-11-18-15/h1-9,11H,10H2,(H,16,17,18)Ê",FVWANTDQRFSCAL-UHFFFAOYSA-NÊÊ
sm6-8_neut->an,4.22,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)O)c3ccccc3,,"InChI=1S/C18H15NO3/c1-11-7-8-15-13(9-11)17(12-5-3-2-4-6-12)14(10-16(20)21)18(22)19-15/h2-9H,10H2,1H3,(H,19,22)(H,20,21)ÊÊ",NAOPCRAIYGPGOJ-UHFFFAOYSA-NÊ
sm6-9_cation->neut,5.37,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7904668/#_ad93_,COc1cccc(c1)Nc2c3ccccc3ncn2.Cl,,"InChI=1S/C15H13N3O.ClH/c1-19-12-6-4-5-11(9-12)18-15-13-7-2-3-8-14(13)16-10-17-15;/h2-10H,1H3,(H,16,17,18);1HÊÊ",JKXWTCGOHAXNQI-UHFFFAOYSA-N
