,names,pKa,pKa predicted
0,2aminopurine_neut->an,10.0,10.037954
1,pivalamide_cation->neut,-0.28,-0.8953614
2,tyrosineamide_cation->neut,7.48,7.3504677
3,1methyl4nitroimidazole_cation->neut,-0.58,0.13310575
4,8methoxyquinazoline_cation->neut,1.93,1.9360943
5,2methiopyrimidine_cation->neut,0.59,0.7996254
6,4isopropylquinazoline_cation->neut,2.81,2.94167
7,14dimetpyrazole_cation->neut,2.48,3.7309837
8,quinoxaline_cation->neut,0.72,0.79409003
9,146trimepyridin31hone_cation->neut,3.9,4.144194
10,4hydroxytropolone_neut->an,5.76,7.378315
11,4nitro2356tetramethylaniline_cation->neut,2.36,2.2791088
12,3me4567tetrahindazole_cation->neut,4.65,4.1735816
13,5et1me21hpyrimidinimine_cation->neut,11.45,11.481856
14,35dinitrophenol_neut->an,6.73,6.356656
15,5hydroxypyrimidine43hone_neut->an,7.52,6.3201346
16,cyclohexan1amino1carboxylic_neut->an,10.03,10.458664
17,3pyridinecarbaldehydeoxime_cation->neut,4.1,4.262443
18,benz34isothiazole_cation->neut,-0.1,0.5747497
19,6oh24dione1h3hpyrimidine_neut->an,3.99,2.3034937
20,8methoxyquinoline_cation->neut,5.01,5.0591974
21,3nitro15naphthyridine_cation->neut,0.63,1.3976274
22,8cf3purin21hone_neut->an,5.35,5.208043
23,9methyluric_neut->an,5.77,4.7491827
24,pyrazine1oxide_cation->neut,0.05,1.120209
25,167trime4iminepteridine_cation->neut,10.44,10.160204
26,2me46diohpyrimidine_cation->neut,0.21,0.58273613
27,triethylamine_cation->neut,10.72,10.431867
28,4me34dihquinazoline_cation->neut,9.15,9.236428
29,5hydroxy4methylcoumarin_neut->an,8.26,8.203737
30,5hydroxypyrimidine_cation->neut,1.85,1.3239393
31,1methyl4pirimidinone_cation->neut,1.8,2.3943799
32,lysine_cation->neut,8.94,8.784496
33,56dime3meampyrazinamide_cation->neut,2.68,2.3943877
34,6aminoquinoline_cation->neut,5.63,5.6321516
35,2acpyridinox_cation->neut,-0.45,1.2163835
36,alanylalanine_neut->an,8.13,7.9119797
37,benzoxazole_cation->neut,0.5,0.6953521
38,1me41hquinolinimine_cation->neut,12.4,12.569292
39,24diaminopteridin6ylmethanol_cation->neut,5.02,5.449271
40,3aminomethyl6methylpyridine_2cation->cation,2.9,3.7883148
41,pyridine246trimethyl35dicarboxylic_an->2an,6.54,8.160196
42,7hidrazinoquinoline_2cation->cation,2.8,2.1412392
43,16dih123triazolo5p4p54pyrimidine_cation->neut,5.6,5.1910563
44,44pyridylaniline_2cation->cation,2.75,2.4354599
45,24diam6dimeampyrimidine_2cation->cation,0.68,0.84067726
46,22thienylpyridine_cation->neut,3.79,3.0522866
47,2carboxy5phenyloxazole_cation->neut,-1.87,-2.2817857
48,14phenylenediamine_2cation->cation,2.97,3.113677
49,3mesulfonylpyridazine_cation->neut,-1.01,-0.34606862
50,8methoxy6methylquinoline_cation->neut,5.7,5.706016
51,pyrazolo34dpyrimidin4dimeam_cation->neut,4.53,4.57662
52,3aminopyridazine_cation->neut,5.19,5.800402
53,3fluoropyrrolidine_cation->neut,9.4,8.975303
54,2me5nitroaniline_cation->neut,2.32,2.4613209
55,3clnndimebenzylamine_cation->neut,8.67,8.27211
56,1amino6chloronaphtalene_cation->neut,3.48,3.7262852
57,tetramethylpyrazine_cation->neut,3.6,3.9869075
58,2cyclohexen1amine_cation->neut,10.42,9.84244
59,6oh2ampyridine_cation->neut,2.32,2.1634943
60,12phenylenediamine_cation->neut,4.47,5.322838
61,methylpiperidine_cation->neut,10.19,10.297585
62,pyridine2methylamine_cation->neut,3.79,4.3049955
63,nme2pheam56dih4h13oxazine_cation->neut,10.71,10.893955
64,2methylphenylhydrazine_cation->neut,5.32,5.076417
65,2aminophenol_cation->neut,4.66,4.555133
66,2mes45dimethiazole_cation->neut,3.1,2.4599977
67,phenanthridine_cation->neut,4.52,3.8992667
68,6cn5am1h123triazolo45bpyridine_cation->neut,-0.06,0.4111774
69,2methylbenzimidazole_cation->neut,6.1,6.6277227
70,5me7meo34dihpyrano23bpyridine_cation->neut,3.04,2.5849996
71,2me5carboxy4am123triazole_cation->neut,-0.28,-1.7963054
72,trans1am2ohcyclohexan_cation->neut,9.63,9.4906435
73,35dimethylisothiazole_cation->neut,1.52,1.9431496
74,3aminopropanoic_neut->an,10.24,9.761302
75,24dime1h15benzodiazepine_cation->neut,8.98,8.697545
76,146triazaindene_cation->neut,4.24,4.2705617
77,7me6ohpurine_cation->neut,2.12,2.052287
78,nacetylimidazolin2imine_cation->neut,7.48,7.304137
79,35methiophen2ylpyridine_cation->neut,4.56,4.312953
80,azetidine_cation->neut,11.29,10.676807
81,1pnitrophenylpyrazole_cation->neut,-0.65,0.032857895
82,26dime4ampyrimidine_cation->neut,6.97,6.79573
83,dimethylguanidine_cation->neut,13.6,13.451558
84,1pme6mes123azol5p4p45pyrmdine_cation->neut,-0.78,-1.0801859
85,tyrosine_an->2an,10.6,10.480339
86,3chloroquinoline_cation->neut,2.63,2.7712817
87,56dime2meopyridine_cation->neut,4.86,4.1986904
88,2oh34diampyridine_cation->neut,4.16,5.352743
89,formic_neut->an,3.75,3.5134892
90,1amino3chloronaphtalene_cation->neut,2.69,2.8683567
91,2oh6me123triazolo5p4p54pyrimidine_cation->neut,0.51,0.6805959
92,12nitrophenhyimidazole_cation->neut,5.08,5.176525
93,2cyanoaniline_cation->neut,0.77,0.8794832
94,6me76him1h123triazolo45dpyrimidin_cation->neut,3.25,3.3676972
95,2aminoquinoline_cation->neut,7.34,7.3782206
96,3hydrazinebenzonitrile_cation->neut,5.57,4.3559623
97,2pyridinealdoxime_cation->neut,3.56,3.3735871
98,24dimethyl8hydroxyquinoline_cation->neut,6.2,5.2738523
99,5aminobenzimidazole_cation->neut,6.07,6.4165487
100,5ph4meopyrimidine_cation->neut,2.94,2.669704
101,pyrazine2amidino3meam56dime_cation->neut,9.43,7.948877
102,6clpurine_neut->an,7.88,8.22759
103,urazole_neut->an,5.8,6.853074
104,12phenylenediamine_2cation->cation,0.8,0.5247904
105,ornitine_cation->neut,8.65,7.303863
106,4cf3phenol_neut->an,8.675,8.9123745
107,5me2ambenzoic_cation->neut,2.48,2.6901374
108,betaproline_cation->neut,3.02,3.8038063
109,5ohimino246trione1h3h5hpyrimidine_an->2an,9.66,9.481283
110,34dioh1naphtylamine_cation->neut,4.41,3.9290214
111,4methoxy6methylaminopyrimidine_cation->neut,4.23,3.6456556
112,1me5ph4oxo14dihpyrimidine_cation->neut,1.99,2.3768554
113,42pyridilimidazole_2cation->cation,1.33,0.8174374
114,2phbenzimidazole_cation->neut,4.98,5.2507534
