,compn,exp. pKa,pKa predicted by models:2-6,pKa predicted by models:3-3,pKa predicted by models:2-1,pKa predicted by models:1-2,pKa predicted by models:1-3,pKa predicted by models:1-9,pKa predicted by models:3-9,pKa predicted by models:1-8,pKa predicted by models:1-0,pKa predicted by models:1-5,pKa predicted by models:3-8,pKa predicted by models:1-4,pKa predicted by models:1-7,pKa predicted by models:1-6,pKa predicted by models:1-1,pKa predicted by models:3-5,pKa predicted by models:2-2,pKa predicted by models:2-3,pKa predicted by models:2-9,pKa predicted by models:2-8,pKa predicted by models:2-5,pKa predicted by models:2-4,pKa predicted by models:2-7,pKa predicted by models:2-0,pKa predicted by models:3-2,pKa predicted by models:3-4,pKa predicted by models:3-7,pKa predicted by models:3-6,pKa predicted by models:3-0,pKa predicted by models:3-1,consensus
0,sm11-1_neut->an,3.61,4.02972,2.9778333,3.2223353,4.471549,3.4303617,4.7873545,4.1075907,4.475821,3.788993,3.5944057,4.4486265,3.414166,5.4713964,4.0311813,3.4143314,4.0781455,4.0655317,3.6066914,5.2096815,4.611597,4.040454,3.466483,4.16296,3.6321526,4.4247146,3.457755,4.015561,3.8879714,4.150266,3.6344433,3.9909701304281913
1,sm11-2_neut->an,2.91,3.012436,2.2000785,2.7737308,3.65301,2.694069,3.9452515,4.349675,3.8222933,3.4084244,2.425187,3.4717088,3.380725,3.3117943,3.1770844,2.9462113,3.0566082,3.6826081,2.0565434,4.369569,3.0920696,2.8039107,3.416953,3.573361,3.4607482,3.9236298,3.362379,3.569328,3.4524746,3.693099,3.9518242,3.320864028623027
2,sm11-3_cation->neut,5.02,6.2727656,5.988789,5.205966,5.5050454,5.937296,4.658032,5.8199086,6.5910406,5.6025753,5.1488676,6.154342,6.5787487,5.005513,6.2563415,5.667366,5.1785955,5.477807,5.557678,4.401782,6.0220146,4.8194094,5.8887386,6.195573,6.3189497,5.54475,6.626406,5.801632,5.527422,6.284574,4.3324065,5.65775279137396
3,sm11-4_cation->neut,6.1,5.610904,5.1687694,5.690393,5.7327204,5.8071938,4.6805687,5.4215975,6.021182,5.901804,5.540867,5.207779,5.9811654,6.286273,6.3907166,6.1021266,6.48041,5.4539504,4.0685425,6.365057,5.042835,5.1972694,6.3870296,6.6309395,7.105309,6.0529766,7.1797447,6.69845,4.7871165,6.2682853,5.901743,5.8472167476531
4,sm11-5_cation->neut,8.99,8.936935,9.494931,9.522687,8.960699,9.139419,9.42342,9.600637,9.604431,8.914853,9.120253,9.729269,10.32429,10.012684,9.342117,9.187466,8.507017,9.037528,9.025217,9.7663555,10.167851,9.079778,9.819216,9.689902,9.3853655,9.457565,10.091716,9.543628,9.522301,9.670319,9.4488945,9.436024027178364
5,sm11-6_neut->an,4.24,4.7937856,4.1860213,4.496599,3.8107758,4.409363,4.1914806,4.1638546,3.9023457,4.2423077,3.6122706,4.4561925,4.050643,5.025078,4.4544706,4.8907647,3.8273711,4.831565,4.032427,4.2542915,3.9227276,4.080796,4.5978518,4.4806185,4.485082,4.6854987,4.0291147,4.3319125,4.2448874,4.237349,5.039895,4.322817417575467
6,sm11-7_cation->neut,4.58,5.335714,5.0789595,4.3690753,4.859987,4.7880063,4.900798,5.0803156,5.241064,4.489596,3.8160772,4.3160973,4.604641,5.640303,5.3999476,4.3430595,4.789401,4.6441045,4.7194366,4.526906,4.4307036,4.862385,4.751335,4.397854,4.5574694,5.298049,5.047727,4.443616,5.2689905,4.2694607,3.973141,4.736265161883446
7,sm11-8_neut->an,8.5,8.566572,8.302788,7.5096154,8.886541,8.902544,9.032758,8.940491,9.391077,7.9217186,8.316297,9.198701,8.709461,8.511488,8.136589,8.977898,8.78414,8.494087,9.465363,8.698553,9.536514,8.603115,8.107929,8.718666,8.399091,9.127013,8.299177,8.742573,8.217068,8.374327,7.8325863,8.619507743466285
8,sm11-9_neut->an,4.4,4.6581683,4.9544644,4.6146474,4.2277765,4.767404,5.331299,4.110667,5.7869186,5.0113087,4.610063,5.4865522,4.4774656,5.47388,4.3151073,5.1196136,4.8349814,4.5860763,4.850101,4.4009705,5.0708065,4.669708,5.0967803,4.8142414,4.700578,4.7252197,4.818058,5.3489437,4.7697845,3.7823381,5.157794,4.805539266524777
9,sm11-10_neut->an,4.65,5.0028243,4.0634465,5.7810574,5.521845,4.6717973,5.4644375,5.965618,5.1510925,5.6460986,4.7433705,5.970854,4.8526397,6.761623,5.665159,5.3628926,5.406446,5.8586693,4.9550085,4.8307495,5.8608174,5.1688304,5.98396,5.557742,5.726417,5.6161256,6.467176,5.9315004,4.8763633,5.767787,5.957272,5.459342599684192
10,sm11-11_neut->an,3.73,4.5411525,4.950185,5.4868426,3.8220348,5.2590275,4.286773,5.105742,3.873705,4.808348,4.6093793,4.042846,4.6013417,4.9693513,4.6236286,5.3512945,5.755582,4.275357,4.574585,4.783484,4.1311727,5.817673,4.097509,5.302806,4.4523354,4.238596,5.026849,4.721606,4.867951,5.405233,4.74565,4.7180012881371285
11,sm11-11_cation->neut,1.67,2.3942041,0.5335016,1.2215538,1.6662827,0.8129649,1.1155581,1.0275688,1.780561,1.3381958,0.8703928,1.3172913,2.8377285,0.15877628,1.2064071,0.6156955,0.94508743,1.7194619,-0.021678448,1.0053916,1.6065536,0.4921832,2.2344475,1.1859767,3.05219,1.1376414,2.6665702,0.46507978,1.3273058,2.289991,0.5779276,1.3306713387273974
12,sm11-12_cation->neut,1.98,2.4022396,1.8078995,1.4808521,0.81684494,2.3374524,1.6962662,2.0736208,1.3749652,2.0873427,0.855463,1.9424353,2.9126937,1.1185203,1.7123408,1.7059224,1.4519229,2.3923757,1.0892043,1.900754,1.2830882,1.6330914,1.7456002,1.4060111,2.7525072,1.1629791,2.5423071,2.2637339,2.1819797,2.6044855,1.4409819,1.811480037012408
13,sm11-12_neut->an,3.67,4.5844145,4.786043,5.0425234,4.9275723,5.483091,5.2889028,4.3932815,5.03424,4.364701,5.0650606,5.0166874,4.634628,4.5624065,4.784078,4.6076994,4.9544945,4.3006887,4.7807975,4.5420833,5.2864666,4.942474,5.1159725,5.0275683,4.8126106,5.3344803,4.9171505,5.262606,5.308565,4.126239,4.895108,4.833955931509696
14,sm11-13_neut->an,8.15,8.962873,8.156682,7.882665,9.243473,9.153397,9.489489,8.75247,9.015293,8.366632,8.323677,8.858712,8.256638,8.663887,7.87117,8.498531,8.397472,8.730577,8.89089,8.846004,8.918845,8.731971,7.751548,8.813765,8.9969845,8.909955,8.882037,8.514471,8.794153,8.904121,7.980525,8.635771256108438
15,sm11-14_neut->an,7.41,7.803536,7.3709445,8.297533,8.164718,8.298147,9.052598,9.190864,9.740253,8.487951,8.174315,8.142357,8.6683,9.601509,7.432974,9.017598,8.709032,8.159251,8.299761,9.227208,7.444267,8.957551,8.94654,9.88826,7.6699862,9.152317,8.485933,9.725664,7.8793583,8.411524,8.3509,8.521327423587922
16,sm11-15_neut->an,5.18,6.466157,5.0570436,4.883225,5.290303,4.824333,6.2730627,6.031002,6.383754,4.5517416,5.4949756,5.8888316,4.2056165,6.5244045,5.5601006,5.1240163,5.67273,5.4669027,5.0323143,6.4017467,6.1572056,5.269648,4.943669,6.700424,6.255918,5.809096,4.737859,5.597825,5.3657856,5.707796,4.4702654,5.526701686613022
17,sm11-16_neut->an,9.46,9.5053215,9.178261,9.2655,10.056269,10.195761,10.2146635,10.411406,9.961252,9.217247,10.075625,9.7412405,8.960287,10.029652,9.197828,9.873384,9.370773,9.173574,9.17095,9.957582,9.988813,9.798798,9.118601,9.877093,9.315926,10.3348675,9.613119,9.810423,9.222999,9.627663,9.327442,9.64684907728626
