,names,pKa,pKa predicted
0,2phenyl1456tetrahydropyrimidine_cation->neut,12.8,10.936935
1,22pyridilimidazole_cation->neut,5.47,5.363857
2,pyrazine2amidino3meam_cation->neut,8.96,8.207092
3,4me3ph5meim45dih124oxadiazole_cation->neut,6.43,5.518724
4,3me2meim12dihtetramethiazole_cation->neut,10.0,8.700499
5,1Hpyrazol3ol_neut->an,7.94,7.9228687
6,4me9amacridine_cation->neut,10.24,9.60718
7,4mepyrazole45dih_cation->neut,4.58,4.033975
8,26dime4carbmquinazoline_cation->neut,1.79,2.1520472
9,4fluoropiperidine_cation->neut,9.4,9.773783
10,2chloropyridine_cation->neut,0.47,0.92027044
11,23dimethylaniline_cation->neut,4.7,4.5317335
12,5fluro6methylaminopyrimidin21hone_cation->neut,2.66,2.263844
13,4methoxycinnoline_cation->neut,3.14,4.0301313
14,5pchlorphenyloxazole_cation->neut,0.16,0.5275936
15,6cyanopurine_neut->an,6.88,7.333604
16,2meo3mequinoxaline_cation->neut,1.38,1.5239058
17,5meo24diampyrimidine_cation->neut,7.23,7.5601034
18,4f2nitroaniline_cation->neut,-0.34,-0.47710705
19,3hydroxy2meopyridine_cation->neut,2.1,2.1248283
20,3methyl13thiazol23himine_cation->neut,9.61,9.219694
21,benzene1iminobenzyl26dimethyl_cation->neut,6.29,6.0280976
22,354dimetpyrazole_cation->neut,3.91,3.5446472
23,6cf39hpurin2amine_cation->neut,1.85,2.2057326
24,histamine_2cation->cation,6.04,5.589066
25,2mesthiazole_cation->neut,1.92,1.7284822
26,4amino3ethylpyridine_cation->neut,9.39,9.016804
27,6me5phenox24diampyrimidine_cation->neut,6.47,6.666401
28,9methyl28dihydroxypurine_an->2an,11.5,11.941177
29,5mercaptoquinoline_neut->an,6.48,6.089806
30,6hidrazinoquinoline_cation->neut,5.5,5.605838
31,25thiazolylpyridine_cation->neut,2.79,2.2408786
32,2me6meampurine_cation->neut,5.04,4.113551
33,2367tetrh1h5himdazo12apyrimdne_cation->neut,11.22,12.303839
34,7aminoquinoline_cation->neut,6.63,6.934518
35,pteridine46dime2amino_cation->neut,2.66,3.3122182
36,1234tetrah15naphthyridine_2cation->cation,-1.35,-0.5273402
37,4meam1me2pyrimidionne_cation->neut,4.47,4.467368
38,5carboxy4methyloxazole_cation->neut,-0.72,-0.8875594
39,4cl2nitroaniline_cation->neut,-0.94,-0.9273195
40,2me4carbmquinazoline_cation->neut,1.57,1.9009519
41,146triazaindene_neut->an,13.16,12.787537
42,tetrahydroquinoline_cation->neut,5.03,4.1858006
43,246triaminopyrimidine_2cation->cation,1.07,1.4315436
44,2imino133trimeindoline_cation->neut,9.25,9.458073
45,4cyano110phenanthroline_cation->neut,3.56,3.640977
46,Nethyltrans23dimethylaziridine_cation->neut,9.47,9.650236
47,26dimethylquinazolinehydrate_cation->neut,8.65,7.9931984
48,thioibotenic_neut->an,5.9,7.2842956
49,nphenylhydroxylamine_cation->neut,2.19,1.1183891
50,2amino4methoxypyrimidine_cation->neut,5.53,5.585127
51,1me45diam2im12dihpyrimidine_cation->neut,13.66,12.338288
52,aniline_cation->neut,4.6,4.6213884
53,2me16dih123triazolo5p4p54pyrimidine_cation->neut,6.16,6.1304407
54,4formyl123triazole_neut->an,6.63,6.1005096
55,3me1ph1Hpyrazol5ol_cation->neut,1.42,1.6959734
56,4benzylpyridine_cation->neut,5.59,5.733065
57,tertbutyldimethylamine_cation->neut,10.52,10.387583
58,n3dimethylaniline_cation->neut,4.85,4.9958773
59,1hydroxyphenazine_cation->neut,1.44,1.5148115
60,2trimesilylmeaminopropane_cation->neut,10.8,10.77359
61,nndime4cyanoaniline_cation->neut,1.777,2.1218202
62,ethanedihydroxamic_an->2an,9.0,7.2307444
63,4me2hidrazinoquinoline_cation->neut,8.35,7.883608
64,benzoquinonemonoxime_neut->an,6.2,6.4409833
65,1amino3cyanonaphtalene_cation->neut,2.26,2.8918974
66,3dimeampyridine_cation->neut,6.45,6.5035048
67,4mesilamidepyridine_cation->neut,3.64,4.4054794
68,5methoxypyrimidin4ol_neut->an,8.64,8.183536
69,threonine_neut->an,9.1,9.186061
70,4methylquinazoline_cation->neut,2.8,3.1548648
71,5ohpyridin21Hone_neut->an,8.51,9.410093
72,8oh16naphthyridine_cation->neut,4.05,4.3069916
73,quinuclidine4methylsulfonyl_cation->neut,7.89,8.085905
74,4am2butynoic_cation->neut,1.8,0.6637764
75,4mnitrophenylpyridine_cation->neut,4.87,5.0835185
76,cis1am2isop5mecyclohexane_cation->neut,10.35,10.686267
77,6mepyrazolo34dpyrimidin4am_cation->neut,5.41,5.765256
78,23diampropanoic_cation->neut,6.79,6.48579
79,m-nitrophenol_neut->an,8.36,8.114878
80,146triazanaphtalene_cation->neut,2.47,2.6041255
81,24diam67dime8oxypteridin_cation->neut,3.04,3.452104
82,6hydroxycinnoline_cation->neut,3.65,3.183713
83,3aminopropanoic_cation->neut,3.55,4.119131
84,5me1oh2pyrroline5carboxylic_neut->an,2.95,3.25042
