,names,pKa,pKa predicted
0,14dimethylurazole_neut->an,5.3,6.0447598
1,7methoxyquinoline_cation->neut,5.03,5.294404
2,5me110phenanthroline_cation->neut,5.26,5.486114
3,669trimethyladenine_2cation->cation,-0.77,-0.15821552
4,4dimethylaminoaniline_cation->neut,6.59,7.00756
5,5cf3141h3hdionepyrimidine_neut->an,7.35,7.564999
6,246triaminophenol_cation->neut,6.0,5.0712705
7,42pyridilthiazole_cation->neut,4.105,4.789597
8,alaninamide_cation->neut,8.02,7.699317
9,42pyridilimidazole_cation->neut,5.492,5.5754924
10,guanine_an->2an,12.3,12.615668
11,5me2meopyrimidine_cation->neut,1.67,1.4216738
12,5amquinazoline_cation->neut,3.56,3.6523688
13,quinuclidine4methylvinyl_cation->neut,10.52,10.618904
14,8phenylpurine_cation->neut,2.66,3.2330713
15,4benzylsulfanylpyridine_cation->neut,5.41,5.8405123
16,24dimethieno32cpyridinium_cation->neut,6.43,6.180561
17,diisopropylamine_cation->neut,11.12,10.73471
18,Smethyl3mercaptoquinoline_cation->neut,3.88,3.238968
19,5aminoisoquinoline_cation->neut,5.58,5.3349113
20,2me34dihpteridine_cation->neut,7.26,7.3291593
21,1me5nitro2piperidinoimidazole_cation->neut,2.72,1.9707816
22,5amino1isopropyltetrazole_cation->neut,1.91,1.6306796
23,246trimethylaniline_cation->neut,4.38,4.660083
24,1mercaptoisoquinoline_cation->neut,-1.9,-2.6813092
25,4methylaminophenol_cation->neut,5.9,5.7374244
26,cisethyleneoxidedicarboxylic_an->2an,3.92,3.6747096
27,6nitroisoquinoline_cation->neut,3.45,3.2657647
28,3fluoroaniline_cation->neut,3.58,3.3541858
29,2isopropylaniline_cation->neut,4.42,4.7117515
30,4methylquinoline_cation->neut,5.5,5.304879
31,3methylxanthine_neut->an,8.1,8.365023
32,245trimethylphenylguanidine_cation->neut,11.35,10.611404
33,glycilproline_neut->an,8.65,8.058495
34,aniline4chloro3nitro_cation->neut,1.93,1.5520095
35,nnnptrimethylhydrazine_cation->neut,6.58,7.245901
36,acetamidopyridine_cation->neut,4.37,4.025852
37,aminomethylsulfonic_neut->an,5.57,5.168722
38,Nmethyl5mercaptoquinoline_cation->neut,3.22,3.9872296
39,4etaniline_cation->neut,5.0,4.9390993
40,2amino3dimethylaminopyrazine_cation->neut,4.29,3.7516766
41,159triazaciclododecane_2cation->cation,7.57,7.2262497
42,perimidine_cation->neut,6.35,5.6498213
43,cyclopentan11dicarboxylic_neut->an,3.09,2.441999
44,2dimethylamino4methoxypyrimidine_cation->neut,5.87,6.216946
45,4amino6methylthiopyrimidine_cation->neut,3.94,3.990775
46,16diazabicyclo440decane_cation->neut,6.79,7.465967
47,pyridine26dimethyl35dicarboxylic_an->2an,6.16,6.0865455
48,1et12dih2iminopyrimidine_cation->neut,10.92,11.168772
49,3678tetme2im4oxo2348tethpteridine_cation->neut,10.04,9.579675
50,5cl1me2im12dihpyrimidine_cation->neut,10.19,10.126295
51,2methoxybenzylamine_cation->neut,9.7,8.746116
52,npnppdimenacguanidine_cation->neut,7.5,7.043866
53,12dimethylpyrazolidine_cation->neut,6.67,7.2388477
54,cis13diamcyclohexane_cation->neut,10.3,10.684101
55,picolinic_cation->neut,1.01,0.5333314
56,ammeline_cation->neut,4.5,4.3283405
57,16dime4meampyrazolo34dpyrimidine_cation->neut,4.96,4.717724
58,1mephenylhydrazine_cation->neut,4.98,5.189238
59,ecgoninemethylester_cation->neut,9.16,8.554628
60,2pmeophe2imidazoline_cation->neut,10.2,10.00867
61,3aminobenzoicmethylester_cation->neut,3.58,3.1931214
62,8oh5quinolinecarboxylic_cation->neut,4.0,3.4311955
63,otoluidine_cation->neut,4.45,4.4049344
64,2me5phoxazole_cation->neut,2.13,2.3458571
65,3ph5dimeam124oxadiazole_cation->neut,-0.25,0.36377764
66,2carboxypyrimidine_cation->neut,-1.13,-0.07914305
67,3aminomethylbenzoic_cation->neut,3.08,3.217177
68,pteridine47dime2amino_cation->neut,2.59,2.763288
69,124triazole35dimethyl_cation->neut,3.79,3.7995372
70,5carboxylictropolone_an->2an,6.41,6.6024485
71,2hydroxy6mepyridine_cation->neut,1.12,0.83735514
72,allothreonine_neut->an,9.1,8.883855
73,22bipyridine_2cation->cation,0.05,0.06479454
74,3nitroindole_neut->an,10.12,9.713711
75,dimethylacetamide_cation->neut,-0.19,0.076223135
76,9methylpurine_cation->neut,2.27,3.0076246
77,creatine_cation->neut,2.79,2.6751823
78,4am15dimepyrimidin2one_cation->neut,4.69,4.486809
79,quinuclidine3carboxamide_cation->neut,9.82,9.428825
80,5oh146triazanaphthalene_cation->neut,-0.78,-0.3362105
81,benzoc18naphthyridine_cation->neut,5.2,3.668706
82,5cn2meampyrimidine_cation->neut,0.76,0.67059994
83,adrenaline_cation->neut,8.64,8.873793
84,nmethylpyrimidin4amine_cation->neut,6.09,6.5481677
85,3cyclopropyl1hpyrazole_cation->neut,3.16,3.2898526
86,35dimethylaniline_cation->neut,4.765,4.8960195
87,3phquinuclidine_cation->neut,10.23,9.416748
88,2nformylnmethylaminobenzenethiol_neut->an,5.65,6.1433234
89,trimethylanilinoxid_cation->neut,4.78,4.590133
90,16dime123triazolo5p4p54pyrimidine_cation->neut,0.71,1.4682124
91,1methylphthalazine_cation->neut,4.37,4.5084243
92,2methylthiophenol_neut->an,6.64,7.3321905
93,5nitroindazole_cation->neut,-0.96,-1.234524
94,ptoluidine_cation->neut,5.08,5.1089845
95,3methylpiperidine_cation->neut,11.07,10.86999
96,5cl2meampyridine_cation->neut,5.11,4.8878183
97,56benzquinoline_cation->neut,5.15,4.9599023
98,phtalazine_cation->neut,3.47,3.9291697
99,5nitro2mebenzimidazole_cation->neut,4.37,3.8563075
100,6mercaptoquinoline_cation->neut,3.95,4.3886075
101,6dimeampurine_cation->neut,3.83,4.307188
102,echinopsine_cation->neut,2.36,2.309197
103,quinuclidine2cyano_cation->neut,5.85,6.3579288
104,3nitropyridine_cation->neut,0.79,1.7479296
105,246trimethylquinazolinehydrate_cation->neut,9.22,9.88065
106,5methoxyquinazolinehydrate_cation->neut,7.71,7.938487
107,afluoroacrilic_neut->an,2.55,2.1245456
108,2amino45dimethylphenol_cation->neut,5.26,5.2466803
109,acetylguanidine_cation->neut,8.23,7.5810084
110,2amino4methylpyridine_cation->neut,7.48,7.443154
111,8hydroxyphenanthridine_cation->neut,4.35,4.319068
112,137trime8oxo78dih1hpurin3ium6olate_cation->neut,2.9,3.714241
113,6nitroindazole_neut->an,11.67,11.221685
114,66diox2oh57dihthieno34bpyridin2one_cation->neut,-0.4,-1.0497415
115,5ipro46diohpyrimidine_neut->an,5.42,5.983576
116,3amino7chlorocinnoline_cation->neut,3.28,3.173149
117,3mercaptoquinoline_cation->neut,2.33,3.2864966
118,46dihydroxypyrimidine_cation->neut,0.26,-0.5323179
119,6methoxypurine_cation->neut,2.17,2.0066113
120,xanthopterin_cation->neut,2.17,1.6932595
121,4amino2naphtoic_cation->neut,2.89,3.4234524
122,7amidopyrazolo43dpyrimidine_neut->an,10.15,9.797201
123,124benzotriazine_cation->neut,-0.82,-0.22561312
124,quinuclidine4dimethylamino_cation->neut,10.15,9.890053
125,cyclobutan13cisdicarboxylic_an->2an,5.3,6.2712846
126,cis2mecyclohexylamine_cation->neut,10.49,10.261711
127,4me6oh5cn23dihfuro23bpyridine_cation->neut,-1.9,-1.3953345
128,25dimethylthiazole_cation->neut,3.91,4.1351204
129,5amquinolin8ol_cation->neut,5.67,5.064104
130,2azetidinecarboxylic_cation->neut,2.01,2.0828633
131,6oh1me2oxo12dihpyridine_cation->neut,0.61,1.1878579
132,3methylleucopterin_cation->neut,-0.53,-0.78415227
133,4aminobenzonitrile_cation->neut,1.74,2.2454803
134,methylbiguanide_2cation->cation,3.0,2.2374742
135,4pyridinecarboxylic_neut->an,4.85,4.879817
136,135triazanaphthalene_cation->neut,1.36,1.1615105
137,9dimeamacridine_cation->neut,9.08,8.435146
138,sarcosinmethylamide_cation->neut,8.28,7.479468
139,13dime5oxo25dihpyrazole_neut->an,7.94,7.682648
140,5ph2ampyrimidine_cation->neut,3.32,3.4528213
141,2fluoroaniline_cation->neut,3.2,2.8225062
142,245trimethyl12oxazol32Hone_cation->neut,-1.36,-0.8098912
143,4carboxy25dimethyloxazole_cation->neut,0.27,0.094644785
144,6me4ampyrazolo34dpyrimidine_cation->neut,5.52,5.162175
145,isoniazid_cation->neut,3.52,3.04408
146,4ethylthiazole_cation->neut,3.204,2.6557732
147,4hydroxypteridine_cation->neut,-0.17,0.5150895
148,24dihydroxypyrimidine_cation->neut,1.37,1.209219
149,1234tetrah18naphthyridine_cation->neut,7.61,7.826442
150,trans2mecyclohexylamine_cation->neut,10.51,10.66049
151,2amino3dimethylaminopyrazine_2cation->cation,-0.24,0.1818881
152,1me4im14dihpteridine_cation->neut,9.48,9.34497
153,5oh2nitronm3aniline_cation->neut,-0.94,-0.7026708
154,sulfacetamide_cation->neut,1.76,1.106086
155,11dimethylaziridine_cation->neut,8.61,9.39525
156,1azabicylco222octane_cation->neut,11.1,10.745736
157,4meo5ampyrimidine_cation->neut,4.22,4.298312
158,canavanine_cation->neut,6.6,6.21602
159,2meo3ampyridine_2cation->cation,-0.96,-0.3377874
160,3me6meopurine_cation->neut,2.61,2.6085377
161,quinuclidine4cyano_cation->neut,8.23,8.906681
162,46bidimethyulaminopyrimidine_cation->neut,6.34,6.2150946
163,2dimethylamino4methylthiopyrimidine_cation->neut,5.04,5.0189133
164,4meo2nitroaniline_cation->neut,0.77,0.40859592
165,22bipyridine_cation->neut,4.4,4.028244
166,2methylthiazoline_cation->neut,5.22,5.5532007
167,isopropylidendiphosphonic_an->2an,3.16,3.5274663
168,2ethylquinazolinehydrate_cation->neut,8.41,8.21746
169,naphtimidazole_cation->neut,5.16,5.2479725
170,2ethylpyridine_cation->neut,5.97,5.796114
171,quinoline2methoxycarbonyl_cation->neut,1.748,1.7967839
172,16dime2im12dihpyrimidine_cation->neut,10.86,11.269148
173,1piperideine_cation->neut,7.93,8.019123
174,4aminotropolone_cation->neut,2.04,1.6884291
175,8meam1imeamnaphthalene_cation->neut,6.43,5.2558045
176,2amino2cyanopropane_cation->neut,5.3,5.7220883
177,34diampyridine_2cation->cation,0.49,0.41464794
178,5oxaspiro24heptan6ylmethanamine_cation->neut,8.9,9.360873
179,1ipro2oxo12dihpyrimidine_cation->neut,2.88,2.656067
180,3ohpyridin21Hone_cation->neut,0.22,0.044794083
181,67dime8oxypterin_cation->neut,0.41,-0.24439001
182,3chloro6phenylpyridazine_cation->neut,-0.06,1.0596728
183,15phenanthroline_2cation->cation,0.75,0.21690989
184,15dimepyrazole45dih_cation->neut,3.56,2.9002278
185,4iminophenylmethylphenol_cation->neut,7.55,6.998999
186,4et2me45dihthiazole_cation->neut,5.301,5.0435557
187,1me14dihquinazoline_cation->neut,9.41,9.548101
188,58dime7o3478tethpyrano23bpyridine_cation->neut,1.65,1.8423233
189,4aminoisoquinoline_cation->neut,6.27,6.356791
190,4am1mepteridin21hone_cation->neut,2.94,2.691119
191,4methoxyquinoline_cation->neut,6.65,6.4522467
192,46diamino2hydroxypyrimidine_cation->neut,6.56,6.4424257
193,14dih4oxo26pyridinecarboxylic_an->2an,3.47,3.714677
194,biuret_neut->an,13.2,12.147283
195,4ethylpyridine_cation->neut,6.02,5.888774
196,5cn2me6oxonicotinic_an->2an,8.97,8.838975
197,4am2dimeampyrimidine_cation->neut,7.62,8.342203
198,pteridine4acetamide_cation->neut,1.21,1.1770716
199,3aminopyridineNoxyde_cation->neut,1.47,1.915617
200,15phenanthroline_cation->neut,4.075,3.0044675
201,4pyridinecarboxamide_cation->neut,3.61,3.5629864
202,4cl6oh5mepyrimidine_neut->an,7.79,8.103834
203,3medimeaniline_cation->neut,5.344,5.3035135
204,1hpyrazolo34dpyrimidine_neut->an,9.54,9.702791
205,1234tetrahydro8ohquinoline_cation->neut,5.5,4.527168
206,4azabenzimidazole_neut->an,11.11,10.804434
207,nmethylacetanilide_cation->neut,-0.5,-1.3551681
208,5azauracil_neut->an,6.73,6.498479
209,arginine_2cation->cation,2.17,1.8764057
210,5hidrazinoquinoline_2cation->cation,3.5,2.708317
211,9methyladenine_2cation->cation,-0.64,-0.78487635
212,2oh146triazanaphtalene_cation->neut,3.75,3.6542184
213,transcyclopnt12dicrbxylc4oxo_an->2an,5.34,4.425253
214,2methylpyridinenoxyde_cation->neut,1.03,1.3933122
215,3cl4ohbenzoic_an->2an,7.52,8.212254
216,dinitroacetamide_neut->an,1.3,1.1615696
217,5mercaptoquinoline_cation->neut,3.31,4.081767
218,1me7nitrobenzimidazole_cation->neut,3.25,3.367151
219,26dime4aminobenzoic_cation->neut,2.488,3.3085003
220,2nmethylacetamidopyridine_cation->neut,2.01,2.631579
221,Nmethyl2mercaptopyridine_cation->neut,-1.22,-0.17363334
222,2me13a7triazaindene_cation->neut,5.1,5.507082
223,3methyl4aminobenzimidazole_cation->neut,5.79,5.554368
224,1me23dih5oimidazo12cpyrimidine_cation->neut,7.01,6.4866943
225,5nitroso8ohquinoline_neut->an,7.6,7.1290646
