,names,pKa,pKa predicted
0,35dime4nndimeampyridine_cation->neut,8.02,8.007151
1,35dimethyl5nitroaniline_cation->neut,2.59,2.4045098
2,32thyenylpyridine_cation->neut,4.62,4.4471827
3,6meam9mepurine_cation->neut,4.07,4.383422
4,5hydroxypyrimidine43hone_cation->neut,1.99,1.6864433
5,3mepyrazolo34dpyrimidin4am_cation->neut,4.61,4.801484
6,3aminoacridine_cation->neut,8.0,7.3300056
7,45diampyridine_2cation->cation,0.49,0.9444531
8,4aminopyridazine_cation->neut,6.65,6.295218
9,35dimethylpyrazole_cation->neut,4.25,4.542433
10,4am3meapyridine_2cation->cation,0.12,1.8734676
11,glutamine_cation->neut,2.17,2.3682556
12,2methoxyethylamine_cation->neut,9.45,9.322757
13,35dime4ohbenzaldehyde_neut->an,7.74,7.615571
14,ntbupyrrolidine_cation->neut,11.13,10.0746565
15,6aminoquinoxaline_cation->neut,2.95,2.8977091
16,2methylthio135triazaindene_neut->an,9.95,9.680536
17,26dioh4ampyrimidine_cation->neut,0.8,0.36418986
18,4nndimethylaminopyridine_cation->neut,9.58,9.02166
19,1amino6methoxynaphtlene_cation->neut,3.9,4.554781
20,2am4mebenzoquinone_cation->neut,6.7,6.15133
21,3amino1hindazole_cation->neut,3.12,4.046368
22,2amino6hydroxyfluorene_cation->neut,4.63,4.7213106
23,isoxazolidine5carboxylic_cation->neut,2.18,2.9872313
24,5amino2naphtol_cation->neut,3.97,4.227879
25,4oh2meampyrimidine_cation->neut,3.9,3.4546084
26,26dihydroxyaniline_cation->neut,5.1,5.2548647
27,2hydroxy5nitropyridine_neut->an,7.97,7.365799
28,7cf38hydroxyquinoline_cation->neut,2.4,1.8540037
29,4am2oh67dimepteridine_cation->neut,3.45,3.0441835
30,4tbu1me12dih2oxopyrimidine_cation->neut,2.9,2.1675177
31,268trimepurine_neut->an,9.9,9.797715
32,1methyl56dinitrobenzimidazole_cation->neut,1.6,1.4787385
33,dimethylhydrazine_cation->neut,7.49,7.9007006
34,fluoroacetic_neut->an,2.58,2.6246862
35,46dime124triazine352H4Hdione_neut->an,10.1,8.533026
36,glycinehydroxamic_cation->neut,7.1,7.7577286
37,5nitro2am4meam6ohpyrimidine_cation->neut,-0.37,-0.107360125
38,1methyl5chloroimidazole_cation->neut,4.75,4.8141637
39,cyclopentan13transdicarboxylic_an->2an,5.42,5.676279
40,345trimethylaniline_cation->neut,5.12,5.379216
41,4nitroindazole_neut->an,11.57,11.23915
42,3et124triazole_neut->an,10.69,10.366918
43,nmethylmorpholine_cation->neut,7.41,7.5716286
44,5nitro6oh24dione241h3hpyrimidine_an->2an,10.25,9.563376
45,5mepyrazole45dih_cation->neut,4.3,4.222783
46,2hydroxyacridine_cation->neut,5.62,4.9366407
47,34dimethylaniline_cation->neut,5.17,5.398707
48,6hydroxyisoquinoline_cation->neut,5.84,5.991893
49,5nitro2meoaniline_cation->neut,2.49,2.4986782
50,1me2nitroguanidine_cation->neut,-1.7,-0.15191483
51,26dihydroxypurine_an->2an,11.84,11.495354
52,24diamino58dioxypteridin_cation->neut,1.2,0.9719348
53,nndimethylptoluidine_cation->neut,5.5,5.3950114
54,47dichloroquinoline_cation->neut,2.8,2.4998014
55,9meamacridine_cation->neut,10.43,10.666593
56,2cnpyridinox_cation->neut,-1.75,-1.9795134
57,p-aminophenol_cation->neut,5.48,5.9466553
58,8aminoquinaldine_cation->neut,4.86,4.9980607
59,246triaminoresorcin_cation->neut,5.8,5.944281
60,23dimethoxyquinoxaline_cation->neut,-1.15,-0.07426119
61,tertbutylamine_cation->neut,10.69,10.374995
62,homoserine_neut->an,9.72,8.861828
63,glycinemethylester_cation->neut,7.59,7.8529634
64,cyclohexan14transdicarboxylic_an->2an,5.42,5.5036926
65,4m6methiopyrimidine_cation->neut,3.16,3.132589
66,4methoxypyridazine_cation->neut,3.68,3.813552
67,4tbu2ohpyrimidine_cation->neut,2.78,2.8573647
68,Smethyl4mercaptopyridine_cation->neut,5.97,5.919323
69,35dimethyl4nitrophenol_neut->an,8.25,7.2640543
70,1me5nitrobenzimidazole_cation->neut,3.4,3.0353184
71,6methylquinoline_cation->neut,5.1,4.9966087
72,picolinohydrazide_cation->neut,2.86,1.4543834
73,28dimethylquinoline_cation->neut,4.11,5.232092
74,1nitrosopiperazine_cation->neut,5.93,6.4728856
75,sulfanylamide_cation->neut,2.36,2.3608308
76,1me3oh6oxo16dihpyridazine_neut->an,5.46,6.7405434
77,23dimethylpyridine_cation->neut,6.57,6.0605516
78,pentafluorophenol_neut->an,5.23,4.990898
79,3cl6ohbenzenecarbonitrile_neut->an,6.4,6.3666096
80,35diam124triazole_cation->neut,4.43,5.3338475
81,4meo3ampyridine_2cation->cation,-0.62,-0.3881626
82,3methylpterin6carboxylic_cation->neut,1.29,1.9480901
83,8oh145triazanaphthalene_cation->neut,0.6,0.8504255
84,2meo34diampyridine_cation->neut,5.68,5.6398134
85,2cl4ohpyridine_neut->an,6.84,7.4206343
