,names,pKa,pKa predicted
0,sulfoacetic_an>2an,4.2,3.9629712
1,67dime58dioxypterin_cation->neut,0.22,0.05546856
2,isoxazolidine_cation->neut,5.05,4.6804094
3,4hydroxypyrimidine_cation->neut,1.85,2.454936
4,2aminoindan1ol_cation->neut,8.13,7.9992285
5,4aminobenzimidazole_cation->neut,5.3,4.5040274
6,6789tetrah1hnapht12dimidazole_cation->neut,5.99,4.9991574
7,3me135triazine241H3Hdione_neut->an,6.58,7.553464
8,2amino5cyano46dimethylpyrimidine_cation->neut,1.67,2.3889108
9,13dime5phpyrazole45dih_cation->neut,3.5,4.6043744
10,1me3nitro4oxo14dihpyridine_cation->neut,-0.8,-0.18495274
11,7me17diazaspiro35nonane_2cation->cation,7.24,8.009641
12,24diam1hpyrrolo23dpyrimidine_cation->neut,6.18,5.428463
13,benzothiazole_cation->neut,1.2,1.3269353
14,3hydroxy6dimethylaminopyridazine_cation->neut,1.36,1.4964237
15,noradrenaline_cation->neut,8.64,8.876754
16,34dime5678tetrahcinnoline_cation->neut,5.41,4.811403
17,furfurylamine_cation->neut,8.89,8.656735
18,dimethylisobutylamine_cation->neut,9.91,10.47106
19,18diaminonaphtalene_cation->neut,4.61,4.7330427
20,4me2methiopyrimidine_cation->neut,1.86,1.7772555
21,1methylurazole_neut->an,5.3,5.9197807
22,3chloro4mehtylaniline_cation->neut,4.05,3.9833255
23,8cf326diaminopurine_neut->an,7.55,8.225268
24,nicotinicacidnoxide_cation->neut,0.09,0.30396318
25,pphtalic_an->2an,4.46,4.383092
26,2me4phoxazole_cation->neut,1.1,1.6462541
27,4hydroxycinnoline_neut->an,9.27,8.797028
28,4amino3methylpyridine_cation->neut,9.43,9.059703
29,47difluoro1hbenzimidazole_cation->neut,3.0,3.5900478
30,3phenylpyridinenoxide_cation->neut,0.74,0.43461418
31,3methylquinoline_cation->neut,5.15,4.8950205
32,3am1ph2pyrazolin5one_cation->neut,1.2,1.2891355
33,57dih1hfuro34bpyridin2one_cation->neut,0.5,0.8266554
34,nethylmorpholine_cation->neut,7.67,8.443648
35,TBD_cation->neut,14.5,13.957565
36,2am78dih87oxomepteridine_cation->neut,2.05,2.571498
