,names,pKa,pKa predicted
0,sulfoacetic_an>2an,4.2,4.0471873
1,67dime58dioxypterin_cation->neut,0.22,0.8406346
2,isoxazolidine_cation->neut,5.05,4.8342323
3,4hydroxypyrimidine_cation->neut,1.85,2.3653677
4,2aminoindan1ol_cation->neut,8.13,8.406475
5,4aminobenzimidazole_cation->neut,5.3,5.2443285
6,6789tetrah1hnapht12dimidazole_cation->neut,5.99,6.0131855
7,3me135triazine241H3Hdione_neut->an,6.58,7.2865105
8,2amino5cyano46dimethylpyrimidine_cation->neut,1.67,2.5115242
9,13dime5phpyrazole45dih_cation->neut,3.5,4.2159786
10,1me3nitro4oxo14dihpyridine_cation->neut,-0.8,-0.4044628
11,7me17diazaspiro35nonane_2cation->cation,7.24,7.867768
12,24diam1hpyrrolo23dpyrimidine_cation->neut,6.18,6.365877
13,benzothiazole_cation->neut,1.2,1.3443677
14,3hydroxy6dimethylaminopyridazine_cation->neut,1.36,1.8323157
15,noradrenaline_cation->neut,8.64,8.912508
16,34dime5678tetrahcinnoline_cation->neut,5.41,5.2326136
17,furfurylamine_cation->neut,8.89,8.215081
18,dimethylisobutylamine_cation->neut,9.91,10.11507
19,18diaminonaphtalene_cation->neut,4.61,5.095751
20,4me2methiopyrimidine_cation->neut,1.86,1.9820137
21,1methylurazole_neut->an,5.3,6.1264944
22,3chloro4mehtylaniline_cation->neut,4.05,3.355925
23,8cf326diaminopurine_neut->an,7.55,8.795182
24,nicotinicacidnoxide_cation->neut,0.09,0.08639073
25,pphtalic_an->2an,4.46,4.667655
26,2me4phoxazole_cation->neut,1.1,1.6320696
27,4hydroxycinnoline_neut->an,9.27,9.526369
28,4amino3methylpyridine_cation->neut,9.43,9.188187
29,47difluoro1hbenzimidazole_cation->neut,3.0,2.9777539
30,3phenylpyridinenoxide_cation->neut,0.74,0.8601475
31,3methylquinoline_cation->neut,5.15,5.28695
32,3am1ph2pyrazolin5one_cation->neut,1.2,1.6265125
33,57dih1hfuro34bpyridin2one_cation->neut,0.5,0.71014714
34,nethylmorpholine_cation->neut,7.67,8.19108
35,TBD_cation->neut,14.5,13.82544
36,2am78dih87oxomepteridine_cation->neut,2.05,1.7396464
37,quinuclidine4isopropyl_cation->neut,11.2,10.7918625
38,4methoxycarbonylpyridine_cation->neut,3.26,3.429861
39,1methoxyisoquinoline_cation->neut,3.05,3.1960332
