,names,pKa,pKa predicted
0,5bromoquinoline_cation->neut,3.62,3.8158097
1,pyrrolidine_cation->neut,11.31,11.214162
2,5me2phoxazole_cation->neut,1.94,1.6091409
3,diisopropylaniline_cation->neut,8.14,7.327985
4,2amino4cyanonaphtalene_cation->neut,2.66,2.9316442
5,8aminopurine_neut->an,9.38,10.182589
6,3me43hpyrimidinone_cation->neut,1.79,2.1955855
7,8hidrazinoquinoline_2cation->cation,1.3,2.102276
8,25dioxydinitrobenzoquinone_an->2an,-0.5,0.85811114
9,23pbipyridine_2cation->cation,1.52,2.2805352
10,tertbutylaniline_cation->neut,7.1,6.9880877
11,dicyclohexylamine_cation->neut,11.25,10.829714
12,5678tetrah17naphthyridine_cation->neut,8.56,8.29722
13,3hydroxy2aminobenzoic_an->2an,10.118,9.327013
14,4hydroxybenzaldehyde_neut->an,7.62,7.5437956
15,7methylquinoline_cation->neut,5.29,5.1464753
16,42pyridylaniline_cation->neut,5.7,5.5300813
17,2piperidinecarboxylic_cation->neut,2.29,2.5004506
18,3355tetramepyperidine_cation->neut,10.1,10.6400175
19,5amino1phenyltetrazole_cation->neut,1.12,1.1184642
20,2mesulphynylquinoline_cation->neut,-0.27,0.77597284
21,6nmecarbamoylpurine_neut->an,8.9,8.4037285
22,56diam2meampyrimidin43hone_cation->neut,5.42,6.6815987
23,2356tetrah3me2phimino1hoxazoline_cation->neut,9.08,9.252923
24,44bipyridine_cation->neut,4.82,4.441912
25,fluoronitromethane_neut->an,9.55,8.618646
26,7aminoisoquinoline_cation->neut,6.19,6.1282296
27,5aminosalicylic_cation->neut,2.74,3.6374075
28,5amino1mtolyltetrazole_cation->neut,1.08,1.512248
29,6mes24dime4pyrimidine_cation->neut,4.0,3.9380054
30,cytosine_cation->neut,4.58,4.3383627
31,tacrine_cation->neut,10.0,9.536481
32,2amino7nitronaphtalene_cation->neut,3.1,3.011012
33,benzenetriol_neut->an,9.12,7.585248
34,34dimethylpyridineNoxyde_cation->neut,1.49,1.9161181
35,2oh4ampyridine_cation->neut,2.65,2.6154296
36,2mequinolinol_cation->neut,5.61,4.4409866
37,5nitropyrimidine_cation->neut,0.72,0.08771348
38,67benzquinoline_cation->neut,5.05,4.8777537
39,cystine_cation->neut,8.12,8.149082
40,3o2367tetrh1h5himdazo12apyrimdne_cation->neut,8.15,7.436763
41,2hydroxypyrazine_neut->an,8.23,8.6973915
42,2phenylimidazole_cation->neut,6.43,7.096772
43,nmethylurea_cation->neut,0.9,0.26585388
44,8aminopurine_cation->neut,4.64,4.863591
45,threonine_cation->neut,2.09,2.344623
46,canaline_2cation->cation,2.4,1.3417339
47,1aminofluorene_cation->neut,3.87,4.1860404
48,p-nitroaniline_cation->neut,1.01,0.59085155
49,4meo1mepyrazolo34dpyrimidine_cation->neut,2.51,1.9348323
50,8oxy24diaminopteridine_cation->neut,2.17,2.3440437
51,m-nitroaniline_cation->neut,2.5,2.1730065
52,2am6methoxybenzothiazole_cation->neut,4.5,4.4734306
53,2nmemesilamidepyridine_cation->neut,1.73,2.6011803
54,6oh2am7me8cf3purine_cation->neut,2.08,2.1189883
55,1me7am1h123triazolo45dpyrmdin54hone_cation->neut,2.94,2.404695
56,cyclohexylamine_cation->neut,10.64,10.666231
57,3meopyrazine1oxide_cation->neut,-0.45,-0.34017467
58,phenylbiguanide_2cation->cation,2.13,2.2004278
59,quinoline4aldoxime_cation->neut,4.52,4.7177095
60,trans24chlorophenylcyclopropylamine_cation->neut,8.11,8.418448
61,3me5678tetrahcinnoline_cation->neut,4.96,5.1318994
62,4oh26dimepyrimidine_cation->neut,3.01,2.882276
63,1aminoisoquinoline_cation->neut,7.59,7.476883
64,nmecyclohexanimine_cation->neut,9.43,9.218926
65,nndimethylanilineoxid_cation->neut,4.21,4.6954637
66,nndimethyltoluidinnoxid_cation->neut,4.32,4.553243
67,pyridine35dicarboxylic_cation->neut,1.1,1.2209492
68,24dimethylpyridineNoxyde_cation->neut,1.63,1.9318719
69,2hydroxypyridineNoxyde_cation->neut,-0.8,-1.2406888
70,2methoxypurine_cation->neut,2.43,2.344792
71,8oh7mepurine_cation->neut,2.66,2.6785674
72,5aminoindan_cation->neut,5.31,5.078973
73,5amino1naphtol_cation->neut,3.96,4.0062246
74,octahydbenzoccinnoline_cation->neut,6.12,5.0080814
75,4tertbutylpyridine_cation->neut,5.99,5.502241
76,2hydroxyquinoline_cation->neut,-0.31,0.34327745
77,4imino13dime34dihpyrimidin21hone_cation->neut,9.4,9.622921
78,me12dih2opyrimidin5ylcarbx_cation->neut,0.65,0.6827946
79,4hydroxypyrimidine_neut->an,8.59,8.695751
80,2amino46dimethylpyrimidine_cation->neut,4.86,4.545308
81,3trimethylammoniumaniline_2cation->cation,1.983,2.2101798
82,6me135triazine241H3Hdione_neut->an,7.23,7.493112
83,aminomalonic_an->2an,9.83,8.831596
84,3oh4pyridinecarboxylic_neut->an,4.83,4.698533
